prestador,factura,ensamble pos,ensamble prob,Ensamble,LOF,iForest,Autoencoder,$ Valor Factura,Average of personas_unicas,# consultas,$ valor consultas,# proced,$ valor proced,# urg,# hosp,# nac,# med,$ med pbs,$ med nopbs
3F89EB097CB8FB95E71536FCE8F04D40,4C13480ADE39A4AEC68031D5F0D61FA3,1,"56,85 %",2,0,1,1,302872875,6902,3431,109924025,11548,367510065,0,0,0,0,0,0
43246AB2ECE09E419D3C7D7C1D33C33B,BA7B892561E263054A052AC7C46843EF,1,"54,07 %",2,0,1,1,355731120,39584,42393,355731120,0,0,0,0,0,0,0,0
4F09BB7381F2DD5BE74AEB854852AEFD,91B24F02D7471A4E51F1141DA728F405,1,"65,35 %",2,0,1,1,533914100,761,2662,105207164,1813,40220894,0,18,0,106,3889343,0
5833AB66972CC785431A16BE6CCD2C47,9A8BB4B270AA75FF589C49250AD23D59,1,"55,23 %",2,0,1,1,163523711,11,53,3548800,460,35062800,1,1,0,114,13986647,5269517
B725F4EAFE01B71BF7125AB91BC8356B,1B1AE0AA87BE759BB8ED4B29DA3C204D,1,"59,04 %",3,1,1,1,1149305,13,0,0,0,0,0,0,0,7,1149305,0
BDC9655DB70D0AD154FA9811931FC6C8,E93F7F80455D1CB21399C3EA1BA1D568,1,"65,93 %",2,0,1,1,955497120,25277,40479,0,30608,0,551,400,0,6912,0,0
E0B158A4D09C4884A37BAA919DC7EB47,291AC4F937FC5B0CAE968084D543D224,1,"65,37 %",2,1,0,1,281000,64,0,0,2,281000,0,0,0,0,0,0
3F89EB097CB8FB95E71536FCE8F04D40,549CDCB79E99391FDBBAE2F9749553BB,2,"56,51 %",2,0,1,1,302872875,6572,2991,96137834,13042,371943613,0,0,0,0,0,0
43246AB2ECE09E419D3C7D7C1D33C33B,5A1EF8681512798C7BBB66C7CDE16E3E,2,"53,12 %",2,0,1,1,384078500,42994,46327,384078500,0,0,0,0,0,0,0,0
4F09BB7381F2DD5BE74AEB854852AEFD,DCC49A8705C080561DBE3477012FFDC6,2,"59,25 %",2,0,1,1,533914100,703,2380,103994194,1318,30014717,0,14,0,136,6270200,0
5833AB66972CC785431A16BE6CCD2C47,FC391FB366384B246A72E56D020668AA,2,"53,85 %",3,1,1,1,571738651,14,322,26871700,1191,125071000,1,1,0,125,177437283,0
B725F4EAFE01B71BF7125AB91BC8356B,B6C5777662B88A3DE5FFC4006CD8A83C,2,"57,61 %",3,1,1,1,773795,13,0,0,0,0,0,0,0,7,773795,0
BDC9655DB70D0AD154FA9811931FC6C8,9CA194B292CCBB534D73288151A24C35,2,"61,85 %",2,0,1,1,661749660,94638,42572,0,54218,0,0,0,112,2355,0,0
E0B158A4D09C4884A37BAA919DC7EB47,BD23CBC4D0F626D9B678B7A55A09235A,2,"61,80 %",2,0,1,1,34848612,2,0,0,7,1970664,0,1,0,17,803156,2598400
3F89EB097CB8FB95E71536FCE8F04D40,6C005E4C9EDF73D9E92B18F4AAC30381,3,"55,03 %",2,0,1,1,302872875,5817,2953,94367932,12205,301162569,0,0,0,0,0,0
43246AB2ECE09E419D3C7D7C1D33C33B,AB4321A80134F91A2E8C453DCBC56441,3,"49,24 %",2,0,1,1,2256229351,216297,1700,111167136,315434,2145062215,0,0,0,0,0,0
4F09BB7381F2DD5BE74AEB854852AEFD,33165065F7D1997614C43EE610A69341,3,"52,43 %",2,0,1,1,41587980,141,1325,104653200,76,6455140,0,0,0,2,553441,0
5833AB66972CC785431A16BE6CCD2C47,02EB121E46C83F522BA087D71E165E24,3,"52,53 %",1,0,0,1,3903417,1,1,92000,38,1784400,1,1,1,15,242471,0
B725F4EAFE01B71BF7125AB91BC8356B,38F3647AB4875693992B2428F7B76DF1,3,"53,42 %",3,1,1,1,1158275,13,0,0,0,0,0,0,0,9,1158275,0
BDC9655DB70D0AD154FA9811931FC6C8,3BDB69101100D414D7635FF25330C0A1,3,"58,24 %",2,0,1,1,1276954274,26685,38565,0,40723,0,392,143,0,5690,0,0
E0B158A4D09C4884A37BAA919DC7EB47,B6A60615A189F50CAEA0673BF8CDCA8A,3,"60,42 %",3,1,1,1,97393320,6,1,53500,69,3232633,0,1,0,94,19337588,0
3F89EB097CB8FB95E71536FCE8F04D40,AA9B41D4A896B757631AD410CF629680,4,"53,95 %",2,0,1,1,302872875,5454,2612,83177817,11611,291522012,0,0,0,0,0,0
43246AB2ECE09E419D3C7D7C1D33C33B,152A8AE34FD00E71851BC3F17297780C,4,"48,46 %",2,0,1,1,2265780149,165425,16177,343615743,253750,1922164406,0,0,0,0,0,0
4F09BB7381F2DD5BE74AEB854852AEFD,9D77ED00E4839D2E6EE88581E557DFD6,4,"50,18 %",2,0,1,1,397000000,652,4751,128561297,600,62714409,0,19,0,432,0,0
5833AB66972CC785431A16BE6CCD2C47,0A3B53BE54F265BDC2B158B4AAFD90AF,4,"51,57 %",3,1,1,1,486782915,1,464,26879600,1647,84762000,1,1,0,118,174905917,248928
B725F4EAFE01B71BF7125AB91BC8356B,9293F422FE547E79D6BFB99CD9DFFED0,4,"52,74 %",3,1,1,1,4357818,4,0,0,0,0,0,0,0,13,4357818,0
BDC9655DB70D0AD154FA9811931FC6C8,E99D2C07D1495AA27F4CEF954B4DF4F5,4,"56,49 %",2,0,1,1,1244899703,26410,42680,0,41637,0,386,115,0,4517,0,0
E0B158A4D09C4884A37BAA919DC7EB47,0E97BB4AF83A2AE0E71F41CE07275C70,4,"57,39 %",2,0,1,1,34134237,1,0,0,2,399754,0,1,0,21,222288,4446940
3F89EB097CB8FB95E71536FCE8F04D40,D1A6BC851B098A19C6DE9141D2DFE616,5,"53,27 %",2,0,1,1,302872875,5089,2674,84948753,10733,291108422,0,0,0,0,0,0
43246AB2ECE09E419D3C7D7C1D33C33B,EACD46BBDC60D5AA84E3282DCEE4804D,5,"48,07 %",2,0,1,1,2862548320,145362,2381,151123178,217337,2711425142,0,0,0,0,0,0
4F09BB7381F2DD5BE74AEB854852AEFD,03F2B29BA4046D040E17DD279293F843,5,"48,89 %",2,0,1,1,397000000,659,5156,129031386,521,60639200,0,15,0,397,6134534,0
5833AB66972CC785431A16BE6CCD2C47,016F3E51C89875A9F0E6B03251125B3B,5,"49,67 %",2,1,0,1,14051102,4,0,0,0,0,0,0,0,3,0,14051102
B725F4EAFE01B71BF7125AB91BC8356B,DD87C115B1F9534A3DF85460655FA157,5,"51,12 %",3,1,1,1,12582422,11,0,0,0,0,0,0,0,63,12582422,0
BDC9655DB70D0AD154FA9811931FC6C8,6BD45B7EB3B18A46757443F4D8E7D8B4,5,"56,03 %",2,0,1,1,1343564432,19102,23321,0,36398,0,532,74,0,6169,0,0
E0B158A4D09C4884A37BAA919DC7EB47,E907827D4FA0585CA1AF1EEDFA742D97,5,"53,57 %",2,1,0,1,1554434,44,1,53500,13,757100,1,1,0,2,229440,0
3F89EB097CB8FB95E71536FCE8F04D40,CB4C258D9791AF766CA4F0E3CE852D28,6,"52,66 %",2,0,1,1,302872875,5593,2551,81918375,10425,293340049,0,0,0,0,0,0
43246AB2ECE09E419D3C7D7C1D33C33B,9D401ADCE3FD3B7D69F6412A85CD33C5,6,"47,64 %",2,0,1,1,283700820,30140,33066,283700820,0,0,0,0,0,0,0,0
4F09BB7381F2DD5BE74AEB854852AEFD,4497BC52A724B75AF9F703DD672A7014,6,"48,84 %",2,0,1,1,451470941,715,5561,156935416,511,51312435,0,12,0,389,0,0
5833AB66972CC785431A16BE6CCD2C47,C19803D4C030931F888A0DEC466BC3CC,6,"48,41 %",2,1,0,1,139400,15,0,0,1,139400,0,0,1,0,0,0
B725F4EAFE01B71BF7125AB91BC8356B,4E7B87D23354B7C7CFEE66607BD19245,6,"48,06 %",1,1,0,0,173250,493,1,173250,0,0,0,0,0,0,0,0
BDC9655DB70D0AD154FA9811931FC6C8,F015AEEC97BFC5A4FB06F62B3FE44C40,6,"55,33 %",2,0,1,1,554817995,33603,34980,0,106210,0,0,0,183,7157,0,0
E0B158A4D09C4884A37BAA919DC7EB47,530454168C7D8EBA40AAFEEFD663B5D4,6,"53,39 %",2,0,1,1,93842488,3,0,0,8,903381,0,1,0,40,1114762,1349584
3F89EB097CB8FB95E71536FCE8F04D40,1934D226985A4375917F85EDB888F2F9,7,"52,00 %",2,0,1,1,302872875,5126,2315,72171677,9840,223655390,0,0,0,0,0,0
43246AB2ECE09E419D3C7D7C1D33C33B,F2D42E3C9E2A7EEFF7157785F14BDCE8,7,"46,02 %",2,0,1,1,2795890194,145558,2142,139227668,212606,2656662526,0,0,0,0,0,0
4F09BB7381F2DD5BE74AEB854852AEFD,2336291D3B885BBA0AD8073612CE62D1,7,"48,69 %",2,0,1,1,397000000,649,4380,112894635,501,63382233,0,15,0,348,5739381,0
5833AB66972CC785431A16BE6CCD2C47,982A517BB373983EBC0D619E7354233E,7,"46,60 %",3,1,1,1,218224776,1,96,5037000,694,46931500,1,1,0,75,53340458,397822
B725F4EAFE01B71BF7125AB91BC8356B,7B3EFBD4EAD478970B38CF35CA0999B8,7,"48,06 %",1,1,0,0,173250,493,1,173250,0,0,0,0,0,0,0,0
BDC9655DB70D0AD154FA9811931FC6C8,5C0E08D809523B39A5AFCB47D4A4334C,7,"54,01 %",2,0,1,1,1247923891,24372,34195,0,30466,0,542,45,0,4730,0,0
E0B158A4D09C4884A37BAA919DC7EB47,D110CF2DC65EB51B123DDAD3AE16EFDF,7,"52,21 %",3,1,1,1,25456043,14,0,0,23,630200,0,1,0,45,5997594,383000
3F89EB097CB8FB95E71536FCE8F04D40,EB6545BDD3DDEAF46E8ACEEF272F5B3D,8,"51,98 %",2,0,1,1,302872875,5414,2396,74355553,9649,246453778,0,0,0,0,0,0
43246AB2ECE09E419D3C7D7C1D33C33B,0E60E8DB39844DD8753FBE45646B250A,8,"45,96 %",2,0,1,1,2149962097,143138,8471,525125356,224344,1624836741,0,0,0,0,0,0
4F09BB7381F2DD5BE74AEB854852AEFD,74542079475616D132AB10B7FBAC032E,8,"47,50 %",2,0,1,1,397000000,656,3555,123780198,470,61916016,0,16,0,343,4358895,0
5833AB66972CC785431A16BE6CCD2C47,9E07DE6BEBAEEA916EDD02D2B97AEA6D,8,"45,88 %",3,1,1,1,168221993,2,109,5685000,583,55040200,1,1,0,78,35657810,3711080
B725F4EAFE01B71BF7125AB91BC8356B,F5832771A3F73FAC84399C6A4FDF119D,8,"47,52 %",3,1,1,1,10974865,10,0,0,0,0,0,0,0,38,10974865,0
BDC9655DB70D0AD154FA9811931FC6C8,788A3EA283A77A615F3605320858F9BD,8,"53,04 %",2,0,1,1,1262689580,24340,34464,0,35711,0,282,163,0,5936,0,0
E0B158A4D09C4884A37BAA919DC7EB47,B6A7BA5765A0A55F6E16C57EB9F0FE3B,8,"51,62 %",2,0,1,1,86920459,6,0,0,63,3976339,0,1,0,72,12694650,0
3F89EB097CB8FB95E71536FCE8F04D40,D4E412F1236A60FFC03B0CFF08760C3C,9,"51,77 %",2,0,1,1,302872875,5164,2842,90329008,8542,239465610,0,0,0,0,0,0
43246AB2ECE09E419D3C7D7C1D33C33B,00D02EF6D0B4EBF5202CAE2A59E8BB6E,9,"45,57 %",2,0,1,1,2050275480,209698,0,0,313833,2050275480,0,0,0,0,0,0
4F09BB7381F2DD5BE74AEB854852AEFD,19B8FFAEF3556FCB4A8B4A881C3AE2DA,9,"47,03 %",2,0,1,1,500239185,726,4428,129120538,508,54871738,0,17,0,235,5147459,0
5833AB66972CC785431A16BE6CCD2C47,B3FF84E29AFB88DBA5E04BF87B287A3F,9,"45,82 %",1,0,0,1,7235887,4,0,0,0,0,0,0,0,2,100000,7135887
B725F4EAFE01B71BF7125AB91BC8356B,B94BE0C61152BBB47163FE1F25EE3476,9,"45,62 %",1,1,0,0,61475,493,1,61475,0,0,0,0,0,0,0,0
BDC9655DB70D0AD154FA9811931FC6C8,44ED279CF0EDC89580101C4A44BFF62E,9,"53,04 %",2,0,1,1,1336019038,19949,24306,0,35557,0,339,185,0,6389,0,0
E0B158A4D09C4884A37BAA919DC7EB47,F13126ACFFCC977D16F4B31C89752BBA,9,"49,21 %",2,1,0,1,1540055,2,1,55200,5,1238555,0,1,1,2,5550,0
3F89EB097CB8FB95E71536FCE8F04D40,B204224657373BDE15F2F8CA4144E5FA,10,"51,30 %",2,0,1,1,302872875,5035,2193,69502091,10048,218822013,0,0,0,0,0,0
43246AB2ECE09E419D3C7D7C1D33C33B,DBA8FC7D5043CCBA4E866E83A1E7AF51,10,"44,99 %",2,0,1,1,2558887849,137688,2078,133604868,212262,2425282981,0,0,0,0,0,0
4F09BB7381F2DD5BE74AEB854852AEFD,34E87F8FC78E2B341C2D4393C8BE9DED,10,"47,00 %",2,0,1,1,464710995,724,2817,103755991,373,61863710,0,17,0,229,11689087,0
5833AB66972CC785431A16BE6CCD2C47,34298EC549BA382F78F8DB9E939E20C9,10,"45,57 %",3,1,1,1,141679666,17,98,8476500,626,47901100,1,1,0,104,29580024,1054672
B725F4EAFE01B71BF7125AB91BC8356B,921B826FBCFDE8FCAD34CB57188045B3,10,"44,98 %",3,1,1,1,9809587,10,0,0,0,0,0,0,0,52,9809587,0
BDC9655DB70D0AD154FA9811931FC6C8,78BB00FDFD7B47B496A3B2F89C795DB0,10,"52,06 %",2,0,1,1,1079632512,27167,43364,0,37345,0,224,14,0,3047,0,0
E0B158A4D09C4884A37BAA919DC7EB47,46156DDF2348834055E0FF094F953D7E,10,"48,24 %",2,1,0,1,70650573,1,0,0,8,860000,0,0,0,53,5619662,355774
